amount,hour,is_first_time,velocity,bin_count,amount_vs_avg,label
334168,18,1,1,1,1.38,0
41006691,3,1,6,7,6.98,1
3596184,14,0,0,1,0.42,0
3823637,14,0,0,1,0.9,0
1341438,18,0,0,1,0.57,0
1179800,21,0,0,1,1.01,0
1875594,8,0,0,1,1.21,0
852061,16,1,1,1,1.52,0
490708,18,1,0,1,1.12,0
5207425,14,1,1,10,2.19,1
7466835,19,1,1,6,2.99,1
7349958,17,0,3,6,3.27,1
1720664,20,0,0,2,0.98,0
2064721,12,0,0,1,2.01,0
3377648,19,1,4,5,2.99,1
2258783,21,0,0,1,2.1,0
276024,16,0,0,1,1.7,0
2188344,18,0,0,1,2.03,0
4215239,19,0,1,1,2,0
1810792,22,1,0,2,1.28,0
3315528,8,0,0,1,1.01,0
470040,10,0,1,1,1.3,0
452142,17,0,0,1,1.48,0
2215307,13,0,0,1,1.9,0
4358513,7,0,0,1,1.94,0
4872518,14,0,0,2,1.47,0
4989224,10,1,0,1,1.65,0
4632274,14,0,0,1,1.2,0
2457226,16,0,0,1,1.35,0
4678527,13,0,0,2,0.71,0
2880104,16,0,0,1,0.97,0
809470,13,0,0,1,1.25,0
3208461,21,0,0,1,1.93,0
1450707,17,0,0,1,1.19,0
4216295,10,0,0,1,1.49,0
2786699,9,1,0,1,1.5,0
2564302,8,0,0,1,1.04,0
762029,20,0,0,1,1.33,0
3728632,15,1,0,1,1.38,0
1617087,7,0,0,1,2.2,0
4443709,19,0,0,1,0.99,0
2195177,14,0,0,1,0.53,0
1262654,18,0,0,1,1.71,0
2043388,19,1,0,1,1.53,0
2376369,20,1,0,1,1.02,0
2061255,14,0,0,1,1.96,0
1680883,16,0,0,1,1.4,0
42479441,4,1,7,5,5.92,1
26059738,1,1,5,5,9.52,1
2719250,15,1,0,1,1.58,0
4667581,22,1,0,1,0.43,0
3358046,18,1,0,1,1.1,0
5157430,7,0,3,4,4.57,1
4579407,18,0,0,1,1.2,0
863608,11,0,0,1,0.95,0
21494039,9,0,1,2,8.6,1
888552,14,1,0,1,1.65,0
2008716,13,1,8,1,0.7,1
3748060,18,0,0,1,0.57,0
1004254,11,0,0,1,0.68,0
3152250,14,0,0,1,0.97,0
3961654,12,0,0,1,1.92,0
4321794,10,0,0,1,2,0
2308354,15,1,0,1,2.08,0
3996337,10,0,0,1,1.85,0
144744,21,0,0,1,0.98,0
2110988,17,0,0,1,2.09,0
1121576,20,1,0,1,1.78,0
3302487,13,0,0,1,1.57,0
1006473,10,0,0,1,1.68,0
1655455,16,1,0,1,2.19,0
3947707,20,0,0,1,0.81,0
2711564,21,0,0,1,0.66,0
1526082,20,1,0,1,0.8,0
3954565,14,0,0,1,0.79,0
947704,12,0,0,1,1.17,0
181581,10,0,0,1,0.7,0
1924957,12,1,1,1,2.06,0
3537301,9,0,0,2,1.79,0
3978553,7,0,0,1,1.33,0
3077336,15,0,0,1,2.05,0
3935968,14,0,0,1,2.16,0
187382,22,0,0,1,0.97,0
3717797,7,1,3,9,3.9,1
232587,22,0,0,1,0.75,0
2657345,16,0,0,1,1.58,0
4284293,7,0,0,1,0.58,0
1060360,12,1,0,1,2.08,0
1362864,20,1,0,1,1.99,0
2707786,21,0,0,1,1.35,0
1908873,15,0,0,1,1.46,0
4813511,16,1,0,1,1.64,0
2311587,19,0,0,1,0.77,0
3051178,14,0,0,1,1.01,0
3671735,12,0,0,1,1.4,0
2767818,18,0,0,1,2.02,0
1585152,20,1,8,1,1.15,1
773661,20,0,0,1,1.58,0
3803907,16,0,0,1,1.52,0
